 
                                                                                                                                                                                                                                                                
 
The FREQ Procedure

                                    Cumulative    Cumulative
cluster    Frequency     Percent     Frequency      Percent
------------------------------------------------------------
      1          15        4.97            15         4.97  
      2          16        5.30            31        10.26  
      3          69       22.85           100        33.11  
      4          27        8.94           127        42.05  
      5          28        9.27           155        51.32  
      6          28        9.27           183        60.60  
      7         104       34.44           287        95.03  
      8          11        3.64           298        98.68  
      9           4        1.32           302       100.00  
